Channel1,Channel2,Channel3,Channel4
1729801,2303231,2218618,1011976
1858309,2132237,2212554,940440
1933405,2041491,2061280,772612
1999929,2043023,2110904,760434
2235411,2281731,2191376,1005734
2382611,2121277,2210310,942654
2455633,2033861,2073446,776050
2541151,2058785,2126070,771900
2739907,2272313,2184330,988916
2904535,2127549,2207820,949494
3002243,2047355,2073260,773880
3078763,2072813,2137972,774564
3267215,2242593,2154512,982614
3421085,2124335,2206368,943694
3530461,2060991,2090018,774626
3616717,2089263,2157860,783914
3782583,2235149,2148276,975456
3958171,2133029,2216626,959086
4068897,2073269,2097276,797366
4154153,2087835,2160002,785626
4285199,2210847,2135586,958478
4484703,2146951,2231914,954694
4605007,2087701,2108460,803466
4674347,2110915,2167890,801106
4795967,2182971,2101610,955772
5019999,2145973,2234964,962220
5141567,2099429,2126944,800180
5213049,2120951,2175832,800168
5291997,2166295,2079482,926370
5553045,2152123,2244254,990720
5670247,2105319,2139362,818680
5744381,2125773,2194518,794844
5802663,2142645,2046554,925922
5553997,2167751,2251770,995012
5690911,2120275,2156068,834096
5751871,2144213,2213374,800544
5780577,2113707,2038542,920302
5566103,2169813,2263722,994778
5687321,2126461,2155850,825086
5766163,2161645,2223812,810534
5771579,2103051,2010696,914220
5542255,2162025,2259030,993886
5691451,2128479,2155738,833590
5784331,2180085,2238282,818090
5761399,2089827,2007496,910884
5545621,2151069,2250682,984822
5693385,2138203,2182798,854696
5796163,2196709,2257406,825316
5763779,2074771,2514342,908884
5539959,2146831,2763144,994268
5716329,2155687,2716698,864094
5813233,2216357,2808562,846798
5738381,2063369,3045034,899850
5534583,2138675,3286870,982100
5705717,2139863,3233754,845228
5819813,2227061,3337228,851236
5737187,2043915,3535752,888990
5523299,2132973,3282802,979956
5716289,2144273,3232920,845112
5844491,2252353,3367204,873418
5723591,2020763,3507040,876034
5505855,2121459,3267106,968974
5716339,2151637,3228630,855998
5853415,2278029,3399870,869558
5727765,2018095,3544492,892988
5507387,2111815,3792740,957224
5725021,2159497,3768458,840182
5895915,2309037,3952440,893260
5731069,2515783,4026564,882328
5485463,2593127,4267062,921288
5737201,2685247,4288078,839476
5927181,2864343,4491960,925328
5720633,3040213,4527522,879984
5973991,3091935,4765456,882676
5726951,3196327,4812558,846878
5952293,3412673,5040848,943488
5716823,3563825,5045162,869404
5946511,3594725,5266802,874304
5726117,3725345,5336476,808470
5978593,3967039,5592982,950750
5724863,4080873,5560510,889642
5920731,4097179,5752954,850272
5719631,4248301,5843820,824126
5483349,3998855,5633714,978580
5718467,4064461,5568676,894312
5902605,4059591,5732780,809086
5717079,4251663,5854932,833362
5515353,4034785,5654568,1013746
5728411,4072145,5557290,902674
5865331,4013057,5685418,776676
5718173,4258023,5860272,831344
5545007,4081567,5715568,1028866
5724281,4085505,5560636,912400
5831169,3993647,5660024,759616
5704763,4244285,5844700,817726
